method,geometry,tau,trial,success,finite,expected_fallback,declared_fallback,angular_available,low_count,retained_count,iterations,converged,max_raw_weight,normalization_error
Full,full-rank,0.001,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,7,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,7,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,8,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Unprotected,full-rank,0.001,8,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,9,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,9,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,10,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,10,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,11,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,11,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,12,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,12,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,13,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,13,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,14,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,14,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,15,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,15,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,16,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,16,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,17,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,17,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,18,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,18,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,19,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,19,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,20,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,20,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,24,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
